tijd,positie1,positie2
9.2401848036960735e-05,3.1789815285207591e-16,0.0000000000000000e+00
9.3001860037200744e-05,3.2264098969510563e-16,0.0000000000000000e+00
9.3601872037440739e-05,3.2742833356496146e-16,0.0000000000000000e+00
9.4201884037680748e-05,3.3226041504343618e-16,0.0000000000000000e+00
9.4801896037920757e-05,3.3713746587454042e-16,0.0000000000000000e+00
9.5401908038160753e-05,3.4205971897018837e-16,0.0000000000000000e+00
9.6001920038400762e-05,3.4702740841591057e-16,0.0000000000000000e+00
9.6601932038640771e-05,3.5204076947659356e-16,0.0000000000000000e+00
9.7201944038880766e-05,3.5710003860224696e-16,0.0000000000000000e+00
9.7801956039120775e-05,3.6220545343379739e-16,0.0000000000000000e+00
9.8401968039360784e-05,3.6735725280891041e-16,0.0000000000000000e+00
9.9001980039600780e-05,3.7255567676783943e-16,0.0000000000000000e+00
9.9601992039840789e-05,3.7780096655930277e-16,0.0000000000000000e+00
1.0020200404008080e-04,3.8309336464638799e-16,0.0000000000000000e+00
1.0080201604032081e-04,3.8843311471248492e-16,0.0000000000000000e+00
1.0140202804056080e-04,3.9382046166724566e-16,0.0000000000000000e+00
1.0200204004080081e-04,3.9925565165257386e-16,0.0000000000000000e+00
1.0260205204104082e-04,4.0473893204864129e-16,0.0000000000000000e+00
1.0320206404128082e-04,4.1027055147993393e-16,0.0000000000000000e+00
1.0380207604152082e-04,4.1585075982132552e-16,0.0000000000000000e+00
1.0440208804176083e-04,4.2147980820418071e-16,0.0000000000000000e+00
1.0500210004200083e-04,4.2715794902248636e-16,0.0000000000000000e+00
1.0560211204224084e-04,4.3288543593901220e-16,0.0000000000000000e+00
1.0620212404248085e-04,4.3866252389150055e-16,0.0000000000000000e+00
1.0680213604272084e-04,4.4448946909888483e-16,0.0000000000000000e+00
1.0740214804296085e-04,4.5036652906753830e-16,0.0000000000000000e+00
1.0800216004320086e-04,4.5629396259755098e-16,0.0000000000000000e+00
1.0860217204344086e-04,4.6227202978903793e-16,0.0000000000000000e+00
1.0920218404368086e-04,4.6830099204847520e-16,0.0000000000000000e+00
1.0980219604392087e-04,4.7438111209506786e-16,0.0000000000000000e+00
1.1040220804416087e-04,4.8051265396714610e-16,0.0000000000000000e+00
1.1100222004440088e-04,4.8669588302859277e-16,0.0000000000000000e+00
1.1160223204464089e-04,4.9293106597530079e-16,0.0000000000000000e+00
1.1220224404488090e-04,4.9921847084166098e-16,0.0000000000000000e+00
1.1280225604512089e-04,5.0555836700708043e-16,0.0000000000000000e+00
1.1340226804536090e-04,5.1195102520253173e-16,0.0000000000000000e+00
1.1400228004560091e-04,5.1839671751713298e-16,0.0000000000000000e+00
1.1460229204584090e-04,5.2489571740475874e-16,0.0000000000000000e+00
1.1520230404608091e-04,5.3144829969068221e-16,0.0000000000000000e+00
1.1580231604632092e-04,5.3805474057824882e-16,0.0000000000000000e+00
1.1640232804656092e-04,5.4471531765558049e-16,0.0000000000000000e+00
1.1700234004680093e-04,5.5143030990231270e-16,0.0000000000000000e+00
1.1760235204704094e-04,5.5819999769636215e-16,0.0000000000000000e+00
1.1820236404728093e-04,5.6502466282072689e-16,0.0000000000000000e+00
1.1880237604752094e-04,5.7190458847031829e-16,0.0000000000000000e+00
1.1940238804776095e-04,5.7884005925882489e-16,0.0000000000000000e+00
1.2000240004800096e-04,5.8583136122560876e-16,0.0000000000000000e+00
1.2060241204824095e-04,5.9287878184263472e-16,0.0000000000000000e+00
1.2120242404848096e-04,5.9998261002143105e-16,0.0000000000000000e+00
1.2180243604872097e-04,6.0714313612008424e-16,0.0000000000000000e+00
1.2240244804896097e-04,6.1436065195026519e-16,0.0000000000000000e+00
1.2300246004920098e-04,6.2163545078428996e-16,0.0000000000000000e+00
1.2360247204944099e-04,6.2896782736221247e-16,0.0000000000000000e+00
1.2420248404968099e-04,6.3635807789895082e-16,0.0000000000000000e+00
1.2480249604992100e-04,6.4380650009144776e-16,0.0000000000000000e+00
1.2540250805016099e-04,6.5131339312586361e-16,0.0000000000000000e+00
1.2600252005040099e-04,6.5887905768480422e-16,0.0000000000000000e+00
1.2660253205064100e-04,6.6650379595458184e-16,0.0000000000000000e+00
1.2720254405088101e-04,6.7418791163251027e-16,0.0000000000000000e+00
1.2780255605112102e-04,6.8193170993423524e-16,0.0000000000000000e+00
1.2840256805136103e-04,6.8973549760109742e-16,0.0000000000000000e+00
1.2900258005160101e-04,6.9759958290753167e-16,0.0000000000000000e+00
1.2960259205184102e-04,7.0552427566849966e-16,0.0000000000000000e+00
1.3020260405208103e-04,7.1350988724695862e-16,0.0000000000000000e+00
1.3080261605232104e-04,7.2155673056136361e-16,0.0000000000000000e+00
1.3140262805256105e-04,7.2966512009320665e-16,0.0000000000000000e+00
1.3200264005280106e-04,7.3783537189458980e-16,0.0000000000000000e+00
1.3260265205304104e-04,7.4606780359583431e-16,0.0000000000000000e+00
1.3320266405328105e-04,7.5436273441312525e-16,0.0000000000000000e+00
1.3380267605352106e-04,7.6272048515619279e-16,0.0000000000000000e+00
1.3440268805376107e-04,7.7114137823602753e-16,0.0000000000000000e+00
1.3500270005400108e-04,7.7962573767263431e-16,0.0000000000000000e+00
1.3560271205424108e-04,7.8817388910282064e-16,0.0000000000000000e+00
1.3620272405448109e-04,7.9678615978802191e-16,0.0000000000000000e+00
1.3680273605472108e-04,8.0546287862216415e-16,0.0000000000000000e+00
1.3740274805496108e-04,8.1420437613956243e-16,0.0000000000000000e+00
1.3800276005520109e-04,8.2301098452285685e-16,0.0000000000000000e+00
1.3860277205544110e-04,8.3188303761098520e-16,0.0000000000000000e+00
1.3920278405568111e-04,8.4082087090719385e-16,0.0000000000000000e+00
1.3980279605592112e-04,8.4982482158708479e-16,0.0000000000000000e+00
1.4040280805616110e-04,8.5889522850670138e-16,0.0000000000000000e+00
1.4100282005640111e-04,8.6803243221065142e-16,0.0000000000000000e+00
1.4160283205664112e-04,8.7723677494026806e-16,0.0000000000000000e+00
1.4220284405688113e-04,8.8650860064180948e-16,0.0000000000000000e+00
1.4280285605712114e-04,8.9584825497469617e-16,0.0000000000000000e+00
1.4340286805736115e-04,9.0525608531978701e-16,0.0000000000000000e+00
1.4400288005760113e-04,9.1473244078769431e-16,0.0000000000000000e+00
1.4460289205784114e-04,9.2427767222713649e-16,0.0000000000000000e+00
1.4520290405808115e-04,9.3389213223333216e-16,0.0000000000000000e+00
1.4580291605832116e-04,9.4357617515643047e-16,0.0000000000000000e+00
1.4640292805856116e-04,9.5333015710998285e-16,0.0000000000000000e+00
1.4700294005880117e-04,9.6315443597945352e-16,0.0000000000000000e+00
1.4760295205904118e-04,9.7304937143077026e-16,0.0000000000000000e+00
1.4820296405928116e-04,9.8301532491891397e-16,0.0000000000000000e+00
1.4880297605952117e-04,9.9305265969654942e-16,0.0000000000000000e+00
1.4940298805976118e-04,1.0031617408226963e-15,0.0000000000000000e+00
1.5000300006000119e-04,1.0133429351714391e-15,0.0000000000000000e+00
1.5060301206024120e-04,1.0235966114406794e-15,0.0000000000000000e+00
1.5120302406048121e-04,1.0339231401609293e-15,0.0000000000000000e+00
1.5180303606072119e-04,1.0443228937041426e-15,0.0000000000000000e+00
1.5240304806096120e-04,1.0547962462925914e-15,0.0000000000000000e+00
1.5300306006120121e-04,1.0653435740077812e-15,0.0000000000000000e+00
1.5360307206144122e-04,1.0759652547994085e-15,0.0000000000000000e+00
1.5420308406168123e-04,1.0866616684943600e-15,0.0000000000000000e+00
1.5480309606192124e-04,1.0974331968057535e-15,0.0000000000000000e+00
1.5540310806216125e-04,1.1082802233420213e-15,0.0000000000000000e+00
1.5600312006240123e-04,1.1192031336160360e-15,0.0000000000000000e+00
1.5660313206264124e-04,1.1302023150542779e-15,0.0000000000000000e+00
1.5720314406288125e-04,1.1412781570060459e-15,0.0000000000000000e+00
1.5780315606312125e-04,1.1524310507527110e-15,0.0000000000000000e+00
1.5840316806336126e-04,1.1636613895170134e-15,0.0000000000000000e+00
1.5900318006360127e-04,1.1749695684724008e-15,0.0000000000000000e+00
1.5960319206384125e-04,1.1863559847524128e-15,0.0000000000000000e+00
1.6020320406408126e-04,1.1978210374601081e-15,0.0000000000000000e+00
1.6080321606432127e-04,1.2093651276775342e-15,0.0000000000000000e+00
1.6140322806456128e-04,1.2209886584752423e-15,0.0000000000000000e+00
1.6200324006480129e-04,1.2326920349218465e-15,0.0000000000000000e+00
1.6260325206504130e-04,1.2444756640936273e-15,0.0000000000000000e+00
1.6320326406528131e-04,1.2563399550841790e-15,0.0000000000000000e+00
1.6380327606552129e-04,1.2682853190141031e-15,0.0000000000000000e+00
1.6440328806576130e-04,1.2803121690407456e-15,0.0000000000000000e+00
1.6500330006600131e-04,1.2924209203679802e-15,0.0000000000000000e+00
1.6560331206624132e-04,1.3046119902560366e-15,0.0000000000000000e+00
1.6620332406648133e-04,1.3168857980313749e-15,0.0000000000000000e+00
1.6680333606672134e-04,1.3292427650966049e-15,0.0000000000000000e+00
1.6740334806696132e-04,1.3416833149404528e-15,0.0000000000000000e+00
1.6800336006720133e-04,1.3542078731477723e-15,0.0000000000000000e+00
1.6860337206744134e-04,1.3668168674096044e-15,0.0000000000000000e+00
1.6920338406768134e-04,1.3795107275332815e-15,0.0000000000000000e+00
1.6980339606792135e-04,1.3922898854525806e-15,0.0000000000000000e+00
1.7040340806816136e-04,1.4051547752379209e-15,0.0000000000000000e+00
1.7100342006840134e-04,1.4181058331066124e-15,0.0000000000000000e+00
1.7160343206864135e-04,1.4311434974331480e-15,0.0000000000000000e+00
1.7220344406888136e-04,1.4442682087595460e-15,0.0000000000000000e+00
1.7280345606912137e-04,1.4574804098057393e-15,0.0000000000000000e+00
1.7340346806936138e-04,1.4707805454800135e-15,0.0000000000000000e+00
1.7400348006960139e-04,1.4841690628894926e-15,0.0000000000000000e+00
1.7460349206984140e-04,1.4976464113506735e-15,0.0000000000000000e+00
1.7520350407008138e-04,1.5112130424000099e-15,0.0000000000000000e+00
1.7580351607032139e-04,1.5248694098045435e-15,0.0000000000000000e+00
1.7640352807056140e-04,1.5386159695725877e-15,0.0000000000000000e+00
1.7700354007080141e-04,1.5524531799644561e-15,0.0000000000000000e+00
1.7760355207104142e-04,1.5663815015032442e-15,0.0000000000000000e+00
1.7820356407128142e-04,1.5804013969856609e-15,0.0000000000000000e+00
1.7880357607152141e-04,1.5945133314929072e-15,0.0000000000000000e+00
1.7940358807176142e-04,1.6087177724016092e-15,0.0000000000000000e+00
1.8000360007200142e-04,1.6230151893947979e-15,0.0000000000000000e+00
1.8060361207224143e-04,1.6374060544729418e-15,0.0000000000000000e+00
1.8120362407248144e-04,1.6518908419650308e-15,0.0000000000000000e+00
1.8180363607272145e-04,1.6664700285397100e-15,0.0000000000000000e+00
1.8240364807296143e-04,1.6811440932164659e-15,0.0000000000000000e+00
1.8300366007320144e-04,1.6959135173768637e-15,0.0000000000000000e+00
1.8360367207344145e-04,1.7107787847758371e-15,0.0000000000000000e+00
1.8420368407368146e-04,1.7257403815530297e-15,0.0000000000000000e+00
1.8480369607392147e-04,1.7407987962441887e-15,0.0000000000000000e+00
1.8540370807416148e-04,1.7559545197926119e-15,0.0000000000000000e+00
1.8600372007440149e-04,1.7712080455606470e-15,0.0000000000000000e+00
1.8660373207464147e-04,1.7865598693412444e-15,0.0000000000000000e+00
1.8720374407488148e-04,1.8020104893695623e-15,0.0000000000000000e+00
1.8780375607512149e-04,1.8175604063346259e-15,0.0000000000000000e+00
1.8840376807536150e-04,1.8332101233910413e-15,0.0000000000000000e+00
1.8900378007560151e-04,1.8489601461707626e-15,0.0000000000000000e+00
1.8960379207584151e-04,1.8648109827949123e-15,0.0000000000000000e+00
1.9020380407608150e-04,1.8807631438856587e-15,0.0000000000000000e+00
1.9080381607632151e-04,1.8968171425781438e-15,0.0000000000000000e+00
1.9140382807656151e-04,1.9129734945324727e-15,0.0000000000000000e+00
1.9200384007680152e-04,1.9292327179457513e-15,0.0000000000000000e+00
1.9260385207704153e-04,1.9455953335641836e-15,0.0000000000000000e+00
1.9320386407728154e-04,1.9620618646952238e-15,0.0000000000000000e+00
1.9380387607752155e-04,1.9786328372197846e-15,0.0000000000000000e+00
1.9440388807776153e-04,1.9953087796045013e-15,0.0000000000000000e+00
1.9500390007800154e-04,2.0120902229140513e-15,0.0000000000000000e+00
1.9560391207824155e-04,2.0289777008235326e-15,0.0000000000000000e+00
1.9620392407848156e-04,2.0459717496308984e-15,0.0000000000000000e+00
1.9680393607872157e-04,2.0630729082694467e-15,0.0000000000000000e+00
1.9740394807896158e-04,2.0802817183203724e-15,0.0000000000000000e+00
1.9800396007920156e-04,2.0975987240253705e-15,0.0000000000000000e+00
1.9860397207944157e-04,2.1150244722993037e-15,0.0000000000000000e+00
1.9920398407968158e-04,2.1325595127429240e-15,0.0000000000000000e+00
1.9980399607992159e-04,2.1502043976556538e-15,0.0000000000000000e+00
2.0040400808016160e-04,2.1679596820484271e-15,0.0000000000000000e+00
2.0100402008040160e-04,2.1858259236565882e-15,0.0000000000000000e+00
2.0160403208064161e-04,2.2038036829528489e-15,0.0000000000000000e+00
2.0220404408088159e-04,2.2218935231603094e-15,0.0000000000000000e+00
2.0280405608112160e-04,2.2400960102655335e-15,0.0000000000000000e+00
2.0340406808136161e-04,2.2584117130316868e-15,0.0000000000000000e+00
2.0400408008160162e-04,2.2768412030117364e-15,0.0000000000000000e+00
2.0460409208184163e-04,2.2953850545617074e-15,0.0000000000000000e+00
2.0520410408208164e-04,2.3140438448540056e-15,0.0000000000000000e+00
2.0580411608232162e-04,2.3328181538907944e-15,0.0000000000000000e+00
2.0640412808256163e-04,2.3517085645174399e-15,0.0000000000000000e+00
2.0700414008280164e-04,2.3707156624360135e-15,0.0000000000000000e+00
2.0760415208304165e-04,2.3898400362188585e-15,0.0000000000000000e+00
2.0820416408328166e-04,2.4090822773222169e-15,0.0000000000000000e+00
2.0880417608352167e-04,2.4284429800999198e-15,0.0000000000000000e+00
2.0940418808376165e-04,2.4479227418171431e-15,0.0000000000000000e+00
2.1000420008400166e-04,2.4675221626642202e-15,0.0000000000000000e+00
2.1060421208424167e-04,2.4872418457705245e-15,0.0000000000000000e+00
2.1120422408448168e-04,2.5070823972184110e-15,0.0000000000000000e+00
2.1180423608472168e-04,2.5270444260572232e-15,0.0000000000000000e+00
2.1240424808496169e-04,2.5471285443173662e-15,0.0000000000000000e+00
2.1300426008520170e-04,2.5673353670244396e-15,0.0000000000000000e+00
2.1360427208544168e-04,2.5876655122134409e-15,0.0000000000000000e+00
2.1420428408568169e-04,2.6081196009430283e-15,0.0000000000000000e+00
2.1480429608592170e-04,2.6286982573098532e-15,0.0000000000000000e+00
2.1540430808616171e-04,2.6494021084629550e-15,0.0000000000000000e+00
2.1600432008640172e-04,2.6702317846182249e-15,0.0000000000000000e+00
2.1660433208664173e-04,2.6911879190729337e-15,0.0000000000000000e+00
2.1720434408688171e-04,2.7122711482203250e-15,0.0000000000000000e+00
2.1780435608712172e-04,2.7334821115642792e-15,0.0000000000000000e+00
2.1840436808736173e-04,2.7548214517340403e-15,0.0000000000000000e+00
2.1900438008760174e-04,2.7762898144990134e-15,0.0000000000000000e+00
2.1960439208784175e-04,2.7978878487836264e-15,0.0000000000000000e+00
2.2020440408808176e-04,2.8196162066822622e-15,0.0000000000000000e+00
2.2080441608832174e-04,2.8414755434742600e-15,0.0000000000000000e+00
2.2140442808856175e-04,2.8634665176389809e-15,0.0000000000000000e+00
2.2200444008880176e-04,2.8855897908709467e-15,0.0000000000000000e+00
2.2260445208904177e-04,2.9078460280950449e-15,0.0000000000000000e+00
2.2320446408928177e-04,2.9302358974818065e-15,0.0000000000000000e+00
2.2380447608952178e-04,2.9527600704627492e-15,0.0000000000000000e+00
2.2440448808976179e-04,2.9754192217457928e-15,0.0000000000000000e+00
2.2500450009000177e-04,2.9982140293307465e-15,0.0000000000000000e+00
2.2560451209024178e-04,3.0211451745248654e-15,0.0000000000000000e+00
2.2620452409048179e-04,3.0442133419584754e-15,0.0000000000000000e+00
2.2680453609072180e-04,3.0674192196006745e-15,0.0000000000000000e+00
2.2740454809096181e-04,3.0907634987751017e-15,0.0000000000000000e+00
2.2800456009120182e-04,3.1142468741757810e-15,0.0000000000000000e+00
2.2860457209144180e-04,3.1378700438830324e-15,0.0000000000000000e+00
2.2920458409168181e-04,3.1616337093794629e-15,0.0000000000000000e+00
2.2980459609192182e-04,3.1855385755660242e-15,0.0000000000000000e+00
2.3040460809216183e-04,3.2095853507781436e-15,0.0000000000000000e+00
2.3100462009240184e-04,3.2337747468019358e-15,0.0000000000000000e+00
2.3160463209264185e-04,3.2581074788904786e-15,0.0000000000000000e+00
